country_name;year;gdp;gdp_per_capita
Israel;2021;4.81591E+11;51430
United Arab Emirates;2020;7.03368E+11;20204
Israel;2020;4.07101E+11;44178
United Arab Emirates;2019;8.03616E+11;23451
Israel;2019;3.97935E+11;43951
United Arab Emirates;2018;8.16579E+11;24229
Israel;2018;3.73641E+11;42063
United Arab Emirates;2017;6.88586E+11;20802
Israel;2017;3.55277E+11;40774
Turkey;2021;8.15272E+11;9587
Turkey;2020;7.19955E+11;8536
Turkey;2019;7.61004E+11;9122
Turkey;2018;7.78472E+11;9454
Turkey;2017;8.58996E+11;10590
Hong Kong;2021;3.68139E+11;49661
Hong Kong;2020;3.44881E+11;46101
Hong Kong;2019;3.63052E+11;48356
Hong Kong;2018;3.61731E+11;48538
Hong Kong;2017;3.41273E+11;46160
Poland;2021;6.74048E+11;17841
New Zealand;2021;2.49992E+11;48802
Poland;2020;5.96624E+11;15742
New Zealand;2020;2.11735E+11;41597
Poland;2019;5.97281E+11;15732
New Zealand;2019;2.13435E+11;42865
Poland;2018;5.87412E+11;15468
New Zealand;2018;2.11953E+11;43250
Poland;2017;5.26509E+11;13865
New Zealand;2017;2.06624E+11;42925
Macao;2021;29905190182;45422
Macao;2020;25586111076;39403
Macao;2019;55204758070;86197
Macao;2018;55284360483;87526
Macao;2017;50440941939;81019
Thailand;2021;5.05982E+11;7233
Thailand;2020;4.99682E+11;7159
Thailand;2019;5.44081E+11;7814
Thailand;2018;5.06755E+11;7299
Thailand;2017;4.56357E+11;6594
Andorra;2021;3329910724;43048
Andorra;2020;2891001149;37417
Andorra;2019;3155149348;40898
Andorra;2018;3218419897;41793
Andorra;2017;3000162081;38965
Argentina;2021;4.91493E+11;10729
Argentina;2020;3.89591E+11;8586
Argentina;2019;4.52818E+11;10076
Argentina;2018;5.2482E+11;11795
Argentina;2017;6.43629E+11;14613
Malta;2021;17189730470;33257
Malta;2020;14917038504;28946
Malta;2019;15719500921;31186
Malta;2018;15301279478;31573
Malta;2017;13505056442;28857
Nigeria;2021;4.40777E+11;2085
Brunei;2021;14006569576;31723
Nigeria;2020;4.32294E+11;2097
Brunei;2020;12005825770;27443
Nigeria;2019;4.4812E+11;2230
Brunei;2019;13469422959;31086
Nigeria;2018;3.9719E+11;2028
Brunei;2018;13567351175;31628
Nigeria;2017;3.75746E+11;1969
Brunei;2017;12128104859;28572
South Africa;2021;4.19946E+11;6994
Cyprus;2021;27719337670;30798
South Africa;2020;3.35442E+11;5656
Cyprus;2020;24692095945;27682
South Africa;2019;3.87935E+11;6625
Cyprus;2019;25758357775;29206
South Africa;2018;4.04842E+11;7005
Cyprus;2018;25522671233;29334
South Africa;2017;3.81449E+11;6691
Cyprus;2017;22870833710;26609
Bangladesh;2021;4.16265E+11;2503
Bangladesh;2020;3.73902E+11;2270
Bangladesh;2019;3.51238E+11;2154
Bangladesh;2018;3.21379E+11;1991
Bangladesh;2017;2.93755E+11;1840
Egypt;2021;4.04143E+11;3876
Slovenia;2021;61526331889;29201
Egypt;2020;3.65253E+11;3569
Slovenia;2020;53589609581;25490
Egypt;2019;3.03081E+11;3019
Slovenia;2019;54178877606;25943
Egypt;2018;2.49713E+11;2537
Slovenia;2018;54163591695;26117
Egypt;2017;2.35734E+11;2444
Slovenia;2017;48589100043;23514
Bahamas;2021;11208600000;28239
Bahamas;2020;9699500000;24665
Bahamas;2019;13192800000;33872
Bahamas;2018;12755800000;33077
Bahamas;2017;12357600000;32371
Estonia;2021;36262924354;27281
Estonia;2020;30650285472;23054
Estonia;2019;31045591753;23398
Estonia;2018;30489500905;23064
Estonia;2017;26924385103;20438
Philippines;2021;3.94086E+11;3549
Czechia;2021;2.82341E+11;26379
Philippines;2020;3.61751E+11;3301
Czechia;2020;2.45339E+11;22933
Philippines;2019;3.76823E+11;3485
Czechia;2019;2.52498E+11;23660
Philippines;2018;3.46842E+11;3252
Czechia;2018;2.4895E+11;23420
Philippines;2017;3.28481E+11;3123
Czechia;2017;2.18629E+11;20636
Malaysia;2021;3.72701E+11;11371
Portugal;2021;2.49886E+11;24262
Malaysia;2020;3.37006E+11;10412
Portugal;2020;2.28539E+11;22195
Malaysia;2019;3.65276E+11;11433
Portugal;2019;2.39987E+11;23331
Malaysia;2018;3.58792E+11;11380
Portugal;2018;2.42313E+11;23563
Malaysia;2017;3.19112E+11;10259
Portugal;2017;2.21358E+11;21490
Turks And Caicos Islands;2021;943269768;24047
Turks And Caicos Islands;2020;924583000;23880
Turks And Caicos Islands;2019;1197415000;31351
Turks And Caicos Islands;2018;1113178000;29553
Turks And Caicos Islands;2017;1022365000;27545
Viet Nam;2021;3.62638E+11;3694
Viet Nam;2020;3.43243E+11;3526
Viet Nam;2019;3.30391E+11;3425
Viet Nam;2018;3.08702E+11;3231
Viet Nam;2017;2.81353E+11;2974
Pakistan;2021;3.46343E+11;1538
Lithuania;2021;65503849705;23433
Pakistan;2020;3.00306E+11;1360
Lithuania;2020;56546957475;20232
